mask,edge_count,edge_graph_id,equality_graph_id,r0_profile_j123,indexed_replay_key
0x0002,18,EG0497,EQ116,000,0x0002
0x0004,18,EG0785,EQ121,000,0x0004
0x0006,20,EG0470,EQ088,000,0x0006
0x0008,22,EG0197,EQ069,000,0x0008
0x000a,22,EG0222,EQ073,000,0x000a
0x000c,20,EG0224,EQ076,000,0x000c
0x000e,20,EG0198,EQ070,000,0x000e
0x0010,22,EG0362,EQ087,100,0x0010
0x0012,22,EG0413,EQ087,100,0x0012
0x0014,24,EG0410,EQ029,100,0x0014
0x0016,24,EG0360,EQ029,100,0x0016
0x0018,24,EG0605,EQ046,100,0x0018
0x001a,26,EG0136,EQ010,100,0x001a
0x001c,22,EG0632,EQ107,100,0x001c
0x001e,24,EG0085,EQ033,100,0x001e
0x0020,18,EG0738,EQ116,000,0x0020
0x0022,20,EG0430,EQ094,000,0x0022
0x0024,20,EG0763,EQ118,000,0x0024
0x0026,22,EG0377,EQ085,000,0x0026
0x0028,24,EG0101,EQ031,000,0x0028
0x002a,24,EG0155,EQ032,000,0x002a
0x002c,22,EG0158,EQ038,000,0x002c
0x002e,22,EG0104,EQ037,000,0x002e
0x0030,20,EG0483,EQ120,100,0x0030
0x0032,20,EG0508,EQ122,100,0x0032
0x0034,22,EG0506,EQ038,100,0x0034
0x0036,22,EG0482,EQ035,100,0x0036
0x0038,22,EG0651,EQ050,100,0x0038
0x003a,24,EG0232,EQ015,100,0x003a
0x003c,20,EG0658,EQ125,100,0x003c
0x003e,22,EG0210,EQ071,100,0x003e
0x0040,18,EG0484,EQ121,000,0x0040
0x0042,16,EG1040,EQ129,000,0x0042
0x0044,20,EG0507,EQ094,000,0x0044
0x0046,18,EG1033,EQ116,000,0x0046
0x0048,22,EG0209,EQ069,000,0x0048
0x004a,22,EG0233,EQ073,000,0x004a
0x004c,20,EG0234,EQ074,000,0x004c
0x004e,20,EG0211,EQ072,000,0x004e
0x0050,22,EG0379,EQ092,100,0x0050
0x0052,22,EG0429,EQ092,100,0x0052
0x0054,24,EG0427,EQ030,100,0x0054
0x0056,24,EG0376,EQ030,100,0x0056
0x0058,26,EG0100,EQ010,100,0x0058
0x005a,24,EG0890,EQ047,100,0x005a
0x005c,24,EG0157,EQ036,100,0x005c
0x005e,22,EG0865,EQ109,100,0x005e
0x0060,20,EG0363,EQ088,000,0x0060
0x0062,18,EG1013,EQ121,000,0x0062
0x0064,22,EG0411,EQ086,000,0x0064
0x0066,20,EG0986,EQ113,000,0x0066
0x0068,24,EG0083,EQ031,000,0x0068
0x006a,24,EG0137,EQ032,000,0x006a
0x006c,22,EG0140,EQ035,000,0x006c
0x006e,22,EG0086,EQ034,000,0x006e
0x0070,20,EG0471,EQ114,100,0x0070
0x0072,20,EG0496,EQ115,100,0x0072
0x0074,22,EG0495,EQ037,100,0x0074
0x0076,22,EG0469,EQ034,100,0x0076
0x0078,24,EG0196,EQ013,100,0x0078
0x007a,22,EG0912,EQ052,100,0x007a
0x007c,22,EG0223,EQ075,100,0x007c
0x007e,20,EG0907,EQ126,100,0x007e
0x0080,22,EG0310,EQ069,000,0x0080
0x0082,20,EG0960,EQ072,000,0x0082
0x0084,24,EG0307,EQ061,000,0x0084
0x0086,22,EG0958,EQ067,000,0x0086
0x0088,26,EG0029,EQ011,000,0x0088
0x008a,26,EG0029,EQ011,000,0x008a
0x008c,24,EG0032,EQ013,000,0x008c
0x008e,24,EG0032,EQ013,000,0x008e
0x0090,24,EG0309,EQ055,100,0x0090
0x0092,24,EG0309,EQ055,100,0x0092
