block_shape,linear_rank,linear_dimension,core_size,core,partition_count,representative_key
"[2, 2, 2, 1, 1]",9,0,0,[],76,00123424
"[3, 2, 1, 1, 1]",9,0,0,[],72,00102324
"[4, 1, 1, 1, 1]",9,0,0,[],16,00102304
"[3, 2, 1, 1, 1]",9,0,1,"[[0, 2]]",66,00112340
"[3, 2, 1, 1, 1]",9,0,1,"[[0, 4]]",57,00101234
"[3, 2, 1, 1, 1]",9,0,1,"[[2, 6]]",49,00012234
"[3, 2, 1, 1, 1]",9,0,1,"[[0, 5]]",46,01002134
"[3, 2, 1, 1, 1]",9,0,1,"[[1, 5]]",42,00110234
"[3, 2, 1, 1, 1]",9,0,1,"[[1, 3]]",38,00102334
"[2, 2, 2, 1, 1]",9,0,1,"[[0, 2]]",36,00123241
"[2, 2, 2, 1, 1]",9,0,1,"[[1, 3]]",35,00112344
"[2, 2, 2, 1, 1]",9,0,1,"[[0, 4]]",34,00123324
"[2, 2, 2, 1, 1]",9,0,1,"[[1, 5]]",31,00112324
"[2, 2, 2, 1, 1]",9,0,1,"[[2, 6]]",29,00112234
"[3, 2, 1, 1, 1]",9,0,1,"[[5, 7]]",27,00012134
"[2, 2, 2, 1, 1]",9,0,1,"[[0, 5]]",23,01023124
"[3, 2, 1, 1, 1]",9,0,1,"[[1, 2]]",15,00120342
"[3, 2, 1, 1, 1]",9,0,1,"[[3, 7]]",9,00123204
"[3, 2, 1, 1, 1]",9,0,1,"[[2, 4]]",9,01001234
"[3, 2, 1, 1, 1]",9,0,1,"[[4, 6]]",9,01002343
"[3, 2, 1, 1, 1]",9,0,1,"[[3, 5]]",9,01020234
"[4, 1, 1, 1, 1]",9,0,1,"[[0, 2]]",9,00012340
"[2, 2, 2, 1, 1]",9,0,1,"[[1, 2]]",8,01230241
"[4, 1, 1, 1, 1]",9,0,1,"[[0, 4]]",8,01000234
"[4, 1, 1, 1, 1]",9,0,1,"[[2, 6]]",8,01200034
"[3, 2, 1, 1, 1]",9,0,1,"[[0, 1]]",7,00123024
"[4, 1, 1, 1, 1]",9,0,1,"[[0, 5]]",7,01112134
"[2, 2, 2, 1, 1]",9,0,1,"[[5, 7]]",6,00112343
"[2, 2, 2, 1, 1]",9,0,1,"[[0, 1]]",6,01021334
"[3, 2, 1, 1, 1]",9,0,1,"[[2, 7]]",6,01023422
"[2, 2, 2, 1, 1]",9,0,1,"[[2, 4]]",5,01012324
"[2, 2, 2, 1, 1]",9,0,1,"[[3, 7]]",5,01012334
"[2, 2, 2, 1, 1]",9,0,1,"[[2, 5]]",5,01203432
"[2, 2, 2, 1, 1]",9,0,1,"[[4, 6]]",4,01123434
"[4, 1, 1, 1, 1]",9,0,1,"[[5, 7]]",4,00001234
"[4, 1, 1, 1, 1]",9,0,1,"[[1, 5]]",4,00120034
"[2, 2, 2, 1, 1]",9,0,1,"[[3, 5]]",3,01212304
"[2, 2, 2, 1, 1]",9,0,1,"[[0, 7]]",3,01223043
"[3, 2, 1, 1, 1]",6,3,1,"[[1, 5]]",3,00102343
"[2, 2, 2, 1, 1]",9,0,1,"[[1, 6]]",2,01023423
"[3, 2, 1, 1, 1]",6,3,1,"[[2, 6]]",2,01213040
"[3, 2, 1, 1, 1]",6,3,1,"[[1, 3]]",2,01213444
"[4, 1, 1, 1, 1]",9,0,1,"[[1, 3]]",2,01213411
"[4, 1, 1, 1, 1]",9,0,1,"[[2, 4]]",2,01233343
"[2, 2, 2, 1, 1]",9,0,1,"[[2, 3]]",1,01203423
"[2, 2, 2, 1, 1]",6,3,1,"[[5, 6]]",1,01213424
"[2, 2, 2, 1, 1]",6,3,1,"[[3, 5]]",1,01230341
"[2, 2, 2, 1, 1]",9,0,1,"[[4, 5]]",1,01231024
"[2, 2, 2, 1, 1]",9,0,1,"[[2, 7]]",1,01234203
"[3, 2, 1, 1, 1]",6,3,1,"[[0, 2]]",1,00123240
"[3, 2, 1, 1, 1]",6,3,1,"[[4, 6]]",1,01112343
"[3, 2, 1, 1, 1]",6,3,1,"[[0, 4]]",1,01123241
"[3, 2, 1, 1, 1]",9,0,1,"[[4, 5]]",1,01223042
"[3, 2, 1, 1, 1]",9,0,1,"[[2, 3]]",1,01223424
"[3, 2, 1, 1, 1]",9,0,1,"[[2, 5]]",1,01234212
"[4, 1, 1, 1, 1]",9,0,1,"[[0, 1]]",1,01020304
"[4, 1, 1, 1, 1]",6,3,1,"[[0, 5]]",1,01213141
"[2, 2, 2, 1, 1]",6,3,2,"[[0, 4], [3, 5]]",1,01012343
"[2, 2, 2, 1, 1]",6,3,2,"[[0, 7], [3, 5]]",1,01023241
